id_case,id_biter,x_coord,y_coord,owned,date_symptoms,days_uncertain
9188,0,652146.650855612,9822082.0283605,FALSE,2013-10-24,0
9189,0,652066.989565916,9821424.61138165,FALSE,2013-10-28,0
9190,0,649598.592314529,9818729.72848116,FALSE,2013-10-24,0
9226,0,645484.170815874,9791327.38104947,FALSE,2012-01-29,0
9240,0,669844.224999392,9812707.82994979,TRUE,2014-01-09,0
9342,0,683313.654053175,9801860.1491933,FALSE,2010-12-06,0
9457,0,685795.674964844,9795339.57333409,TRUE,2011-02-15,14
9565,0,703667.29687674,9801246.42778996,FALSE,2014-07-29,0
9574,0,683218.149678375,9812449.69972049,TRUE,2014-09-24,0
9654,9558,678501.818965458,9807458.13206125,TRUE,2014-11-13,0
9655,9558,678219.86597198,9808521.77286063,TRUE,2014-11-20,0
9657,9558,679744.477277904,9807331.88962209,TRUE,2014-11-13,0
9687,9558,680142.108706958,9807303.63113997,TRUE,2014-10-25,0
9709,0,683433.618062202,9813704.86955115,FALSE,2015-01-09,0
9718,0,671363.25251117,9816796.16385106,FALSE,2015-01-20,0
9736,0,678578.914631035,9807950.00982224,FALSE,2014-12-06,0
9784,9424,677745.096311316,9806264.8853588,TRUE,2014-11-28,0
1021,0,680237.522544935,9807119.87154247,TRUE,2004-03-15,28
1072,0,653723.69698217,9788682.11739278,TRUE,2003-09-15,28
1851,0,676503.440006317,9806052.40604712,TRUE,2004-09-01,28
2638,0,689654.502304335,9797334.60459521,FALSE,2007-06-07,0
2755,0,679074.013621923,9797701.64002863,FALSE,2007-02-05,0
2823,0,667530.189755863,9781693.51287984,FALSE,2004-06-15,28
2824,2825,668977.021619145,9778938.61858204,TRUE,2007-06-18,0
2831,0,682687.699234082,9809936.61557571,TRUE,2007-05-24,0
2839,2833,676065.668654192,9804922.02294706,TRUE,2007-05-10,7
2845,0,668057.465117695,9812751.55556408,TRUE,2011-01-01,28
2881,0,661306.976979331,9831255.73127578,FALSE,2007-01-25,7
2928,0,676812.368481956,9807067.22578366,TRUE,2007-06-26,0
2947,2941,681033.007222978,9809922.10027901,TRUE,2007-09-06,0
3008,0,687526.181417333,9812419.81056328,FALSE,2007-02-26,0
3016,0,687188.788073183,9814854.77144812,FALSE,2007-01-28,0
3019,0,685274.951087719,9815536.19736208,FALSE,2007-05-11,0
3025,0,688541.11773083,9816278.10641798,FALSE,2007-08-23,0
3070,0,668036.977050825,9792673.78574286,FALSE,2007-10-31,0
3081,3079,659352.75996782,9790516.08213533,TRUE,2007-12-03,0
3116,0,666861.370198402,9795536.75518156,TRUE,2007-09-25,7
3190,0,669333.150897442,9812949.12707476,FALSE,2007-06-25,7
3200,0,678646.430103772,9817507.47425684,FALSE,2008-01-05,7
3203,0,679614.361573719,9818016.95093625,TRUE,2007-12-17,0
